data,water_level
01-12-2018,-209
02-12-2018,-210
03-12-2018,-208
04-12-2018,-205
05-12-2018,-201
06-12-2018,-197
07-12-2018,-194
08-12-2018,-192
09-12-2018,-190
10-12-2018,-188
11-12-2018,-185
12-12-2018,-182
13-12-2018,-177
14-12-2018,-171
15-12-2018,-165
16-12-2018,-158
17-12-2018,-151
18-12-2018,-146
19-12-2018,-141
20-12-2018,-137
21-12-2018,-137
22-12-2018,-136
23-12-2018,-136
24-12-2018,-136
25-12-2018,-136
26-12-2018,-140
27-12-2018,-142
28-12-2018,-143
29-12-2018,-145
30-12-2018,-144
31-12-2018,-147
01-01-2019,-152
02-01-2019,-155
03-01-2019,-158
04-01-2019,-160
05-01-2019,-163
06-01-2019,-166
07-01-2019,-170
08-01-2019,-174
09-01-2019,-178
10-01-2019,-181
11-01-2019,-186
12-01-2019,-190
13-01-2019,-193
14-01-2019,-197
15-01-2019,-201
16-01-2019,-205
17-01-2019,-209
18-01-2019,-213
19-01-2019,-217
20-01-2019,-221
21-01-2019,-225
22-01-2019,-228
23-01-2019,-232
24-01-2019,-236
25-01-2019,-237
26-01-2019,-241
27-01-2019,-245
28-01-2019,-245
29-01-2019,-248
30-01-2019,-251
31-01-2019,-255
01-02-2019,-256
02-02-2019,-259
03-02-2019,-262
04-02-2019,-264
05-02-2019,-266
06-02-2019,-266
07-02-2019,-269
08-02-2019,-271
09-02-2019,-273
10-02-2019,-275
11-02-2019,-277
12-02-2019,-279
13-02-2019,-281
14-02-2019,-283
15-02-2019,-285
16-02-2019,-287
17-02-2019,-289
18-02-2019,-290
19-02-2019,-290
20-02-2019,-291
21-02-2019,-292
22-02-2019,-294
23-02-2019,-295
24-02-2019,-296
25-02-2019,-297
26-02-2019,-298
27-02-2019,-299
28-02-2019,-300
01-03-2019,-300
02-03-2019,-301
03-03-2019,-302
04-03-2019,-303
05-03-2019,-304
06-03-2019,-306
07-03-2019,-307
08-03-2019,-308
09-03-2019,-309
10-03-2019,-310
11-03-2019,-311
12-03-2019,-312
13-03-2019,-312
14-03-2019,-312
15-03-2019,-313
16-03-2019,-313
17-03-2019,-314
18-03-2019,-315
19-03-2019,-315
20-03-2019,-315
21-03-2019,-315
22-03-2019,-315
23-03-2019,-315
24-03-2019,-315
25-03-2019,-315
26-03-2019,-316
27-03-2019,-316
28-03-2019,-317
29-03-2019,-317
30-03-2019,-317
31-03-2019,-317
01-04-2019,-317
02-04-2019,-317
03-04-2019,-317
04-04-2019,-317
05-04-2019,-318
06-04-2019,-318
07-04-2019,-318
08-04-2019,-318
09-04-2019,-318
10-04-2019,-318
11-04-2019,-318
12-04-2019,-318
13-04-2019,-318
14-04-2019,-318
15-04-2019,-318
16-04-2019,-318
17-04-2019,-317
18-04-2019,-316
19-04-2019,-316
20-04-2019,-306
21-04-2019,-315
22-04-2019,-314
23-04-2019,-313
24-04-2019,-312
25-04-2019,-312
26-04-2019,-311
27-04-2019,-299
28-04-2019,-308
29-04-2019,-308
30-04-2019,-306
01-05-2019,-306
02-05-2019,-306
03-05-2019,-305
04-05-2019,-299
05-05-2019,-291
06-05-2019,-275
07-05-2019,-254
08-05-2019,-220
09-05-2019,-185
10-05-2019,-190
11-05-2019,-154
12-05-2019,-106
13-05-2019,-48
14-05-2019,-14
15-05-2019,35
16-05-2019,100
17-05-2019,290
18-05-2019,410
19-05-2019,464
20-05-2019,468
21-05-2019,446
22-05-2019,412
23-05-2019,391
24-05-2019,352
25-05-2019,310
26-05-2019,277
27-05-2019,252
28-05-2019,242
29-05-2019,252
30-05-2019,273
31-05-2019,292
01-06-2019,297
02-06-2019,297
03-06-2019,295
04-06-2019,287
05-06-2019,278
06-06-2019,269
07-06-2019,260
08-06-2019,258
09-06-2019,263
10-06-2019,273
11-06-2019,297
12-06-2019,326
13-06-2019,362
14-06-2019,395
15-06-2019,416
16-06-2019,423
17-06-2019,427
18-06-2019,432
19-06-2019,433
20-06-2019,429
21-06-2019,413
